Huvudsektor,Undersektor,Län,Kommun,CO2 1990,CO2 2000,CO2 2005,CO2 2010,CO2 2015,CO2 2016,CO2 2017,CO2 2018,CO2 2019,CO2 2020,CO2 2021,CO2 2022
Alla,Alla,Jönköpings län,Eksjö,87185.0006256519,76560.9882470822,74099.3439269222,79653.6807464312,71103.7049784333,73595.4517625865,74236.7097771902,69203.082930322,67837.018402058,64185.9069147337,65908.2190256651,63794.4283498511
Alla,Alla,Jönköpings län,Gislaved,126960.259437708,119998.544745907,106053.454395307,93158.6575290531,77251.9402886422,73814.8576073639,70893.8039039754,69389.3720241804,68667.5504906256,61749.0605093955,63906.6432136698,57268.6538535803
Alla,Alla,Jönköpings län,Gnosjö,43140.463639279,40773.9172725471,31283.4084178612,27241.0902076962,26223.4831892139,25990.0802819129,28437.5148494279,27028.0635924965,26780.9137910779,20270.9979232576,19819.7468969233,17638.8349325869
Alla,Alla,Jönköpings län,Habo,49342.8637922123,45586.017965592,38884.386327398,38992.6128073175,34105.1188903079,33103.7881030875,36050.3720144936,34579.340993483,37176.5647698415,32077.7051795748,33308.2863040679,30025.0569468917
Alla,Alla,Jönköpings län,Jönköping,486459.274426862,447365.697021192,449895.43023122,537117.039313769,433787.890428721,405164.993233346,402888.078733213,398908.883420884,395195.754507277,377937.929310915,383962.781213512,350427.962024441
Alla,Alla,Jönköpings län,Mullsjö,26028.0306392197,24310.6278712595,22136.0437373165,20563.2452963136,17231.0165970426,16401.1219371686,17173.9443674465,16512.777031971,16409.3783835198,15194.5419129017,15452.6144789208,13573.3459876683
Alla,Alla,Jönköpings län,Nässjö,121004.230791093,104364.188440108,92687.0743190768,86535.1846216404,70443.1213473441,70795.29244168,69960.767355006,66308.4037996509,66091.8681275318,60358.2182046325,62084.5775573071,54275.6881307735
Alla,Alla,Jönköpings län,Sävsjö,56301.5276017165,55614.1456187593,48920.4058547529,43097.462639046,36702.6972726641,35145.8757819993,35355.2126625139,34132.4200232557,33295.0978782717,29996.222589701,30618.1391628084,27465.4303093021
Alla,Alla,Jönköpings län,Tranås,47220.1220107077,43203.8489152896,38169.1531845416,40979.4054644485,30447.290817238,29168.5112444528,31107.7487095095,31432.8902495488,30897.9203282969,28941.6862369783,29058.2534940387,25640.0532422056
Alla,Alla,Jönköpings län,Vaggeryd,104452.908552598,103116.407105722,106445.017288118,116244.00370712,102375.781733201,95399.250930417,91837.2046044456,94973.4230971175,95365.834505499,88842.9137447759,89277.4037234124,79384.5661299389
Alla,Alla,Jönköpings län,Vetlanda,144305.090166305,129063.968401565,139663.842107939,124412.555371049,111710.939229529,101289.491962841,100726.10883906,90297.3980058474,88874.0913742075,81279.8956742473,85252.4691889051,77353.2774379913
Alla,Alla,Jönköpings län,Värnamo,178791.465227935,159327.095763193,172663.980175501,147401.789429391,123834.690754639,116877.366260398,123208.023140693,123117.585908721,118833.689567918,110623.384347085,112142.672945066,97340.0232391806
Alla,Alla,Kalmar län,Alla,1379032.97699966,1456944.80673877,1333340.78588976,1267492.59331341,1026468.69498477,1016375.30627167,991850.803410211,958832.338550927,765920.275233973,636988.751250568,657432.142540679,600464.693668554
Alla,Alla,Kalmar län,Borgholm,80284.1481722156,78176.5259287564,71972.4620413231,67574.0517928721,57113.38130669,54438.656242698,50118.6285275456,54205.3973994288,52773.81396522,48026.3038705919,47621.9779546151,44769.0743409693
Alla,Alla,Kalmar län,Emmaboda,52047.0766453671,50225.3560219516,45820.297191215,33723.3272796381,29123.4208383724,28434.1830063754,27883.8036077092,27164.7844561786,26960.9173083638,24129.7942993278,24530.285153213,21869.1230096641
Alla,Alla,Kalmar län,Hultsfred,108655.999535326,83660.2705360008,84125.5084663929,69554.1905304972,48133.0676752679,44854.9520689871,44433.5816872743,42981.076345116,42415.7719661695,38449.3826872636,40289.7483164421,34869.6352504667
Alla,Alla,Kalmar län,Högsby,37855.3661581269,34191.1147133151,31121.9501215366,27926.5202243366,23169.7515257492,22446.0132972183,21694.3234004128,18613.0984629158,18672.2335487702,16646.7567625641,17814.2816884222,15782.3647608318
Alla,Alla,Kalmar län,Kalmar,240118.408382044,187886.645307402,196754.423639131,191488.097404009,147495.727804227,143713.700625628,137211.164909821,127043.676668475,125736.439345337,114519.938246875,115854.719082788,104122.054411303
Alla,Alla,Kalmar län,Mönsterås,69064.7877854157,205243.292028221,100076.584228273,124856.942234856,63779.4954209801,69116.2960706192,55171.5036630247,58348.2442516342,55609.2880777554,47961.0156224435,49453.1010980685,44070.6356364751
Alla,Alla,Kalmar län,Mörbylånga,223793.432300541,264202.597350674,301791.633463255,313046.937907161,304733.495164183,294541.661806989,301426.369336329,290819.357402223,110306.728324508,41337.481973212,41642.3366534007,38233.6258381275
Alla,Alla,Kalmar län,Nybro,96381.9244242508,97455.9791890492,86074.7672451346,68863.9529123729,57898.8449660683,67827.774621314,67276.4585542842,65637.0317532079,63704.8040680133,63529.7335881037,68698.8129529788,67680.4272537987
Alla,Alla,Kalmar län,Oskarshamn,145363.733815904,161102.425138724,137551.243317759,125970.857786155,87275.1531975073,84230.2617821275,85096.8543322872,82897.1679893257,80390.0704573447,74096.2291373906,72997.9518033815,68227.1800925196
Alla,Alla,Kalmar län,Torsås,39091.9183278687,35167.7605385999,31768.1229513487,23838.0816667797,20796.4619762583,19957.5053002307,20387.5622407323,19680.8082821234,19168.5464426617,17361.9208424941,18323.7633978216,15824.6967119759
Alla,Alla,Kalmar län,Vimmerby,78833.6904662418,73675.5425378558,71373.57824788,67000.2234408231,56966.1628162818,53662.8162622185,54755.0195826262,53321.5818821568,52866.2794381054,46164.6750924422,47513.1605168913,42831.9309164782
