year,oil_gas_heating_of_floor_area_in_m2,coal_coke_heating_of_floor_area_in_m2,wood_peat_heating_of_floor_area_in_m2,other_heating_of_floor_area_in_m2,region,wood_fuels_in_1000m3,population,utilized_agric_area_in_1000_hectares,cattle,pigs,poultry,sheep,goats
2022,3080729,18035,1338222,750354,Paeijaet-Haeme,1047,204528,94.1,18745,24888,0,4073,0
2022,4446516,54446,948157,1451289,Kymenlaakso,1160,159488,69.8,12165,3714,9056,2512,82
2022,2033221,51142,1054558,731856,South Karelia,2094,125353,52.0,16582,5593,17928,2160,0
2022,2052087,3708,2019458,559707,South Savo,1081,130451,64.1,36420,5332,136171,5119,37
2022,2593891,13706,2612100,901782,North Savo,1477,247689,154.0,110278,17145,47058,5145,101
2022,1903019,1714,2120288,739689,North Karelia,1133,162540,84.7,44540,3574,25805,2505,17
2022,3678307,86357,2509572,988653,Central Finland,2197,272437,91.5,41458,7160,10127,8576,28
2022,4747053,4511,3242247,1046973,South Ostrobothnia,799,190774,264.5,114831,217211,3558134,8056,1234
2022,4034580,73731,1523930,1200327,Ostrobothnia,1393,176323,125.8,49338,155739,527915,10499,25
2022,1366143,3147,636005,479298,Central Ostrobothnia,277,67805,58.1,47944,11413,0,3658,0
2022,4051787,35680,3228521,1698316,North Ostrobothnia,1818,416543,240.3,131137,51259,16465,10832,117
2022,742403,991,1046019,314316,Kainuu,477,70521,25.5,16362,0,0,2604,6
2022,2890625,6810,1854108,997050,Lapland,1095,175795,43.6,26765,0,0,12561,61
2022,840378,2293,196414,185201,Aaland,79,30359,15.9,8465,0,0,7157,88
2023,12454898,322062,2079789,5025258,Uusimaa,2562,1759537,178.6,20037,20024,14558,5626,1562
2023,8417518,123411,2697727,2647201,Southwest Finland,1381,490786,291.1,39148,281267,5007959,20484,572
2023,5498338,115668,1966178,1922651,Satakunta,1412,211740,139.3,31984,101406,4064383,3787,164
2023,2871425,37241,1151737,845510,Kanta-Haeme,451,169547,103.7,20306,35514,155551,4534,647
2023,7357467,56500,2815271,2036691,Pirkanmaa,1689,539309,166.4,46640,69460,938973,9324,1237
2023,2981956,17567,1318458,742799,Paeijaet-Haeme,926,204479,94.1,17965,22393,0,3350,18
2023,4150079,52872,935298,1507943,Kymenlaakso,1172,158658,70.4,12414,2600,6587,2434,98
2023,1951117,50450,1031549,670051,South Karelia,1825,125162,52.0,15682,3894,14473,1715,0
2023,1854213,3668,2005648,558692,South Savo,985,129914,63.7,36086,5268,132672,5211,40
2023,2319730,11035,2582650,901351,North Savo,1536,248190,153.4,107844,16022,48767,4820,48
2023,1761269,1714,2100031,715564,North Karelia,1099,162321,84.7,43216,3815,23517,2259,11
2023,3413921,86318,2449863,1046100,Central Finland,2101,273271,91.2,40316,6400,64661,8234,34
2023,4495652,4306,3186728,1043247,South Ostrobothnia,680,190539,265.5,114693,214345,3364102,5818,1095
2023,3883053,72659,1515357,1216634,Ostrobothnia,1156,177602,126.7,49233,142009,394123,10407,27
2023,1307751,3147,629088,416604,Central Ostrobothnia,264,67736,58.4,46889,12194,0,3731,0
2023,3843665,34250,3198615,1737639,North Ostrobothnia,1806,418205,240.9,127835,51251,12487,10036,143
2023,687662,1146,1042749,309679,Kainuu,415,70164,25.3,16020,0,0,1920,0
2023,2706695,6727,1837949,1034082,Lapland,993,176150,42.9,26181,0,0,11538,38
2023,820244,2378,195319,172662,Aaland,73,30541,14.2,8162,0,0,6832,65
